Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Duration,Order IDs
2024-07-10T17:01:00Z,"QQQ   240726C00491000",2024-07-11T16:02:00Z,Buy,14.62,8.04,5,-3290,6.5,-3290,665,3955,0,"23:01:00","298;299"
2024-07-11T16:16:00Z,"QQQ   240726C00485000",2024-07-12T15:01:00Z,Buy,12.91,14.68,5,885,6.5,-1097.5,1262.5,1332.5,1,"22:45:00","301;322"
2024-07-12T15:16:00Z,"QQQ   240802C00485000",2024-07-15T15:27:00Z,Buy,17.29,18.91,4,648,5.2,-1106,972,1662,1,"3.00:11:00","324;337"
2024-07-15T15:31:00Z,"QQQ   240802C00487000",2024-07-17T13:31:00Z,Buy,16.99,8.85,4,-3256,5.2,-3256,34,3290,0,"1.22:00:00","339;340"
2024-07-18T15:16:00Z,"QQQ   240719P00478000",2024-07-18T15:18:00Z,Buy,2.72,2.74,8,16,10.4,-24,144,128,1,"00:02:00","342;347"
2024-07-18T15:46:00Z,"QQQ   240719P00477000",2024-07-18T15:48:00Z,Buy,2.58,2.47,9,-99,11.7,-126,153,252,0,"00:02:00","348;353"
2024-07-18T16:16:00Z,"QQQ   240719P00477000",2024-07-18T16:18:00Z,Buy,2.66,2.71,8,40,10.4,0,112,72,1,"00:02:00","354;359"
2024-07-18T16:46:00Z,"QQQ   240719P00479000",2024-07-18T16:48:00Z,Buy,2.55,2.58,9,27,11.7,0,157.5,130.5,1,"00:02:00","360;365"
2024-07-18T17:31:00Z,"QQQ   240719P00479000",2024-07-18T17:34:00Z,Buy,2.43,2.16,9,-243,11.7,-297,0,297,0,"00:03:00","366;371"
2024-07-18T18:11:00Z,"QQQ   240719P00478000",2024-07-18T18:13:00Z,Buy,2.1,2.33,11,253,14.3,0,385,132,1,"00:02:00","372;377"
2024-07-22T14:31:00Z,"QQQ   240809P00493000",2024-07-23T13:33:00Z,Buy,14.7,14.31,4,-156,5.2,-718,882,1600,0,"23:02:00","378;381"
2024-07-24T15:01:00Z,"QQQ   240725P00468000",2024-07-24T16:42:00Z,Buy,2.35,3.76,9,1269,11.7,-36,1269,576,1,"01:41:00","385;387"
2024-07-24T17:16:00Z,"QQQ   240726P00466000",2024-07-24T19:16:00Z,Buy,3.11,4.59,7,1036,9.1,-189,1169,346.5,1,"02:00:00","388;391"
2024-07-25T14:16:00Z,"QQQ   240726P00456000",2024-07-25T14:24:00Z,Buy,3.46,2.31,6,-690,7.8,-690,0,690,0,"00:08:00","394;395"
2024-07-24T14:45:00Z,"QQQ   240809P00467000",2024-07-26T17:42:00Z,Sell,6.89,10.41,4,-1408,5.2,-3266,0,3266,0,"2.02:57:00","384;401"
2024-07-24T14:45:00Z,"QQQ   240809P00464000",2024-07-26T17:42:00Z,Buy,5.82,8.78,4,1184,5.2,-10,2974,2692,1,"2.02:57:00","383;402"
2024-07-30T15:16:00Z,"QQQ   240731P00458000",2024-07-30T15:18:00Z,Buy,4.01,3.77,5,-120,6.5,-130,0,130,0,"00:02:00","403;408"
2024-07-30T15:46:00Z,"QQQ   240731P00456000",2024-07-30T15:48:00Z,Buy,3.69,3.85,6,96,7.8,0,105,60,1,"00:02:00","409;414"
2024-07-30T16:16:00Z,"QQQ   240731P00457000",2024-07-30T16:18:00Z,Buy,3.94,3.85,5,-45,6.5,-45,20,65,0,"00:02:00","415;420"
2024-07-30T16:46:00Z,"QQQ   240731P00456000",2024-07-30T16:48:00Z,Buy,3.75,4.11,6,216,7.8,0,225,63,1,"00:02:00","421;426"
2024-07-30T17:16:00Z,"QQQ   240801P00455000",2024-07-30T17:18:00Z,Buy,4.96,4.98,4,8,5.2,-44,28,44,1,"00:02:00","427;432"
2024-07-30T17:47:00Z,"QQQ   240801P00456000",2024-07-30T17:49:00Z,Buy,4.68,4.74,5,30,6.5,-27.5,37.5,45,1,"00:02:00","433;438"
2024-08-01T15:01:00Z,"QQQ   240802P00466000",2024-08-01T15:03:00Z,Buy,3.19,3.5,7,217,9.1,0,227.5,10.5,1,"00:02:00","439;444"
2024-08-01T15:31:00Z,"QQQ   240802P00464000",2024-08-01T15:33:00Z,Buy,3.17,3.18,7,7,9.1,-28,17.5,45.5,1,"00:02:00","445;450"
2024-08-01T16:01:00Z,"QQQ   240802P00462000",2024-08-01T16:03:00Z,Buy,3.49,3.35,6,-84,7.8,-201,0,201,0,"00:02:00","451;456"
2024-08-01T16:31:00Z,"QQQ   240802P00462000",2024-08-01T16:33:00Z,Buy,3.58,3.64,6,36,7.8,0,84,48,1,"00:02:00","457;462"
2024-08-01T17:01:00Z,"QQQ   240802P00460000",2024-08-01T17:03:00Z,Buy,3.45,3.42,6,-18,7.8,-18,114,132,0,"00:02:00","463;468"
2024-08-01T17:31:00Z,"QQQ   240802P00458000",2024-08-01T17:33:00Z,Buy,3.38,3.48,6,60,7.8,0,72,30,1,"00:02:00","469;474"
2024-08-02T14:16:00Z,"QQQ   240805P00443000",2024-08-02T14:18:00Z,Buy,4.68,4.01,5,-335,6.5,-365,0,365,0,"00:02:00","475;480"
2024-08-02T15:01:00Z,"QQQ   240805P00444000",2024-08-02T15:03:00Z,Buy,4.83,4.76,4,-28,5.2,-80,0,80,0,"00:02:00","481;486"
2024-08-05T14:31:00Z,"QQQ   240823P00456000",2024-08-07T13:31:00Z,Buy,28.12,14.06,2,-2812,2.6,-2812,0,2812,0,"1.23:00:00","487;490"
2024-08-07T16:31:00Z,"QQQ   240808P00444000",2024-08-07T17:12:00Z,Buy,3.48,5.57,6,1254,7.8,-60,1494,252,1,"00:41:00","502;504"
